venueID,journalName,issn,url
b34355c1-9f81-4033-879f-2f0b1866c6dc,Annals of Neonatology Journal,2636-3569,
551fbf1b-8568-4c20-89fc-b50ac51c4407,Périnatalité,2678-6524,
00ffa917-f7d8-43f3-836f-f3bc8431e615,Bells University Journal of Applied Sciences and Environment,2645-2383,
c3ace5b5-4e19-4905-b010-3de711a9aaeb,IATSS Research,0386-1112,https://www.journals.elsevier.com/iatss-research/
2584b70e-3869-4319-a032-be1c7870aa40,Journal of Korean Academy of Nursing,2005-3673,https://www.jkan.or.kr/
37f1b09a-a6af-4878-9836-fef05322a84a,Brain Communications,2632-1297,
b4aa912a-2562-427b-95f8-26d3f5102283,Journal of Northwest A & F University,,
5266a4d5-355d-4998-bf57-ae876cd6a6fe,Journal of balkan and black sea studies,2667-470X,https://dergipark.org.tr/tr/pub/balkar
0777b4d8-4819-4a02-b471-3b757b56bec3,Journal of Hong Kong Library Association,0073-3237,https://hkjo.lib.hku.hk/exhibits/show/hkjo/browseIssue?book=b48301589
142ceb07-756b-4bee-b67a-7c92791cf231,International journal of agriculture and biosciences,2305-6622,http://www.ijagbio.com/
