paperID,reviewerID,grade,review
44610313,98511618,3,The manuscript was interesting.
97892608,2137832935,4,The research was informative.
97892608,30610928,1,The study was well-written.
132074289,2122676324,4,The analysis was innovative.
132074289,82996539,1,The research was innovative.
217492134,122599575,1,The manuscript was informative.
261801042,2123215720,1,The manuscript was interesting.
261801042,122599575,1,The manuscript was innovative.
16647308,148249768,1,The study was informative.
134955930,2018467139,5,The research was well-written.
134955930,2096375852,5,The manuscript was innovative.
109335850,2241862501,3,The study was well-written.
109335850,123225538,4,The study was well-written.
122091363,2241862501,5,The analysis was thorough.
122091363,2098360087,4,The research was interesting.
122091363,133754356,5,The manuscript was innovative.
124672760,102269922,3,The manuscript was thorough.
152198704,2065957838,4,The analysis was insightful.
152198704,66581544,3,The paper was insightful.
112532675,119507390,3,The manuscript was thorough.
266694665,13469653,4,The analysis was thorough.
27499569,98070078,2,The research was informative.
27499569,89696177,3,The study was informative.
27499569,1477526489,5,The paper was interesting.
267950777,2032781703,3,The research was innovative.
96053489,119352842,5,The analysis was informative.
220192299,66581544,3,The study was informative.
