venueID,paperID,startPage,endPage
kbvc3g9o-aolp-pfaj-s4gi-zrxl2k4hekck,122599050,91,176
oe14zud1-0fu2-3ahc-wxup-994vocli2m41,122599050,75,114
qlkojlgc-yxmg-s9sz-9rhy-3j02ld1b80r4,219591472,83,178
9ebvqybe-hs1f-lylb-bd5h-rrb3b42zya1m,219591472,37,106
xpfd7y8t-jsyx-i8v7-hky1-di3bw22t1bk7,219591472,98,171
iu583sjh-o4ue-nxbn-t50c-43onyh9ywgmm,219591472,76,160
p8v0lntk-8n51-6dw8-7xzx-49hz9lrpqtuf,219591472,44,70
7wcr4ije-x5wa-o359-tcg2-mfw3foplmnbv,219591472,22,28
vj1tf3n8-snik-rza6-1vfd-n9vp1ewk4zym,219591472,48,55
nxqx4bks-c58w-o7lw-kqcu-b6kdw2h7cd9z,219591472,75,88
o7dc8yop-08br-adgz-k5fs-yb5g059v7dfr,219591472,63,111
rn2uri6h-lx8e-2a32-akzg-xks2r9hvyb04,219591472,97,151
pwil14u7-zxmq-c86y-ghub-kljvqezltxbi,153872722,15,20
fkjfdvz2-uf0x-wrja-n48s-qqzp0ecxbot5,153872722,92,138
lcc2o0wx-xx4p-4f8m-c5jc-r7od5qlrdmb7,153872722,47,89
fa59zd2u-t49z-4u8o-1pc7-fa418bwzlb7w,153872722,100,131
40cb2q87-nyc3-wfa4-sbvl-m94x05cdum09,153872722,90,161
jtioszfj-vg6r-qfvb-xzjx-dzgkbv5be4v8,264049796,70,110
tt8wla1c-dy5f-0yro-xi1k-9c0w7mojaq1x,264049796,87,97
r1sfz3gu-y7io-dk06-2rps-l7p0fy9ex3ik,264049796,45,72
xgkljlx1-76yw-dmoa-74b1-8czxjqywslpu,264049796,7,23
6n5yzjrr-507b-illo-fo1h-bhcffjaxk0oj,264049796,72,89
hprgjaa1-dnzy-ehju-4lw4-15fc2xyb1vfb,264049796,67,69
3yglw94a-dmo1-kkyd-t5ib-drc48s4vuavk,264049796,77,140
yd0y6ql9-yxes-hq6u-dydy-tg3up2r2wp36,264049796,66,120
ca5kmcr7-k7mt-53os-7fg2-89rm7ez02hd1,264049796,52,143
wfpof35g-qjqw-ad0o-4s0f-6cnl6te6woxi,264049796,64,73
zm7nmc7m-tr4s-i8zu-ipje-xoxg2dbxczvg,184037610,48,93
tt8wla1c-dy5f-0yro-xi1k-9c0w7mojaq1x,184037610,9,52
gxc4pqr8-p2ax-zbx4-n86x-r3msv77tp2mp,184037610,78,102
96ulpc1s-25q4-3y3q-mqou-a9ssldo4nwle,184037610,16,20
co77mlq0-slga-t9q1-fauz-0wt35yjlf1fx,184037610,57,108
xgm3ar3s-8lut-mh3d-lzim-85j1cpegdkja,184037610,65,107
p8v0lntk-8n51-6dw8-7xzx-49hz9lrpqtuf,184037610,5,32
hx2leeoc-vkar-hmue-s5fg-nvz31mfshpos,184037610,37,78
gqb69lo0-ut1w-7q7o-pxvv-q2njgihitdw7,184037610,90,127
95ks4fb8-q9t4-dlaq-g9yh-9yn8oi7s3gl1,184037610,20,61
x5sw4jhj-fgip-byct-oh7g-keex61qriuuh,182334866,61,142
xpfd7y8t-jsyx-i8v7-hky1-di3bw22t1bk7,182334866,58,118
lcc2o0wx-xx4p-4f8m-c5jc-r7od5qlrdmb7,182334866,35,91
lg97dpg0-jptk-2ixz-b5t1-1kjmot26jmk7,182334866,93,131
ib0bl2a4-36k0-zx48-xvxs-7u8u7rymkblu,182334866,11,95
mz7fkisu-a6ir-diud-g7k7-769sdnz5twao,182334866,51,111
iy8poyl2-4okh-zfc6-u1kl-a3zgatlpqibn,182334866,13,92
4278k7zc-20cx-wwmy-pcbn-bgy9nl23dfah,182334866,42,91
lh68bnxy-fxe4-1pp7-0u7e-ntpno306pw5i,182334866,73,146
p2zpytu8-8r99-b7g2-ii41-i3hripfgsviu,182334866,79,147
71f9jldp-mjkl-jn7c-5gni-avaq35gxvfjc,153524263,11,34
fm15qpry-8b90-daya-2ncm-wfpdj1s86ln2,153524263,60,116
4qpmmx0k-eoj2-5ew2-9fqa-3p4hpcaiserl,153524263,23,36
5c7l6ixy-hwf6-rqyl-gdb3-7besihb21xmv,153524263,72,140
sq3cnmsw-m8c0-fk6n-7yn1-ekex74v65w2y,153524263,7,85
oo34ftbx-w92b-x16q-3p07-qt5fka5xyyz3,153524263,85,116
0udm83sv-0omb-zmt5-eg07-fo3b1jwe02hf,153524263,84,98
nkft1paa-ev5j-j7vw-fg5y-yze4c0vlep2c,153524263,54,74
jcijdbnx-rvc4-tbhd-ue3y-6j7bo7uppmx1,160639247,68,80
7s5q48bi-dylw-ev3z-ubub-sgqinb5dj6wl,160639247,14,16
mz7fkisu-a6ir-diud-g7k7-769sdnz5twao,160639247,83,175
fivkgbj9-aesb-znzo-lhr6-cksh5bp7jcee,160639247,45,93
s14q4ctv-74n7-uaz6-1857-0x6clf5qkvv9,160639247,58,116
9b5omdfi-u96k-k6am-hdks-ksaddsnefiix,160639247,50,70
p86fmg7d-kym8-xr6j-m2ue-88ii664b8e6i,160639247,23,54
300i7snd-4n58-f5bs-php5-xuf3sos69h0w,160639247,23,107
fm15qpry-8b90-daya-2ncm-wfpdj1s86ln2,160639247,87,130
qxpkcrda-laj4-kqle-oroj-5ffuo0h87p1z,160639247,27,120
cuuqd7af-uq7k-9km9-ha91-ueeli8pi4i4w,160639247,58,155
24sk37rl-2694-mh8c-nzdk-bv8xq7cdtb8x,160639247,19,119
d09wehwb-j73r-rlx5-qypw-2sff1ifsh4un,160639247,87,158
ltwjo9wk-76w7-wr1w-qhy2-99anbjtryy85,160639247,32,127
fa59zd2u-t49z-4u8o-1pc7-fa418bwzlb7w,168204084,35,59
wprg0kx5-007g-549g-j421-5d5vvo8wo92s,168204084,63,87
96ulpc1s-25q4-3y3q-mqou-a9ssldo4nwle,168204084,86,185
4zgkvjuv-gkod-ofjs-p0j5-67fw46jac6rm,168204084,84,105
r2k46r44-32r7-3zfi-6n28-863ddhfbb9z7,168204084,31,99
z3w4jpkr-laao-tqer-jrgq-ef0s59wc1511,168204084,17,40
6kjgyb9o-fqch-isno-t8t8-sak69xonr0c3,168204084,83,119
wfpof35g-qjqw-ad0o-4s0f-6cnl6te6woxi,265930238,79,136
n4yyufen-8p4v-wjox-bcd5-7gaeq7ogh0f1,265930238,8,100
lg4jmu3q-o9qz-8lqu-7x0g-g0xbofz269zd,265930238,97,100
mtxahjcp-tob8-12op-x9qe-9yvf7wrbex1r,265930238,48,127
300i7snd-4n58-f5bs-php5-xuf3sos69h0w,265930238,98,171
lg97dpg0-jptk-2ixz-b5t1-1kjmot26jmk7,265930238,6,89
byejyra5-n9qc-3fwg-hg9b-ssfslbfeixtm,238724897,75,122
ixjutl9p-tzx4-sj2v-zkce-sr9l8r83an4i,238724897,21,80
ltwjo9wk-76w7-wr1w-qhy2-99anbjtryy85,238724897,64,132
f5gp4yee-mswz-e9my-355o-1x14ez4soi26,238724897,9,92
kjyliy1s-ylvy-x8rl-8um6-94w89ojb19oc,238724897,18,37
7wj5imnp-cpne-zba0-u9bc-p1slthsun6bx,238724897,82,138
8jouddor-sztm-tq3z-aztb-448uuwans41c,238724897,95,102
2hjlhm20-qcty-84wr-q7zo-7dpnk33nr3s6,238724897,86,133
92qi8fhf-zprd-n45u-dj2h-49lrmouz6q9m,238724897,51,139
vj1tf3n8-snik-rza6-1vfd-n9vp1ewk4zym,238724897,64,147
1voor3od-tjck-8gy6-ov1t-7y01wy8gp3y1,238724897,28,55
x97vpwu6-e1w5-jmk2-gh25-unu5knqtxynp,238724897,43,47
6ygmqfhx-lmfe-1212-c0dg-t6zyvxwevlhb,238724897,27,111
71f9jldp-mjkl-jn7c-5gni-avaq35gxvfjc,157228697,27,114
bfa7q1r4-v9eu-qos0-e2bj-nzc4xaz1ztuj,157228697,51,102
ry2xyqsg-jgfa-s1ul-8zyd-9s7qbqhj1gyq,157228697,72,81
8pzekfuo-n7zb-8x52-m1d7-tsavc64g79hm,157228697,69,109
effx9w5x-se47-xd3u-bbyh-m5qzw5ixk2j6,157228697,84,184
lce4xpfy-0xvc-db6r-84rc-48uybuxp2q9x,157228697,49,138
8rpnx7gk-yw2u-xb5l-tirb-pv1sgjvms5v0,157228697,24,98
o7dc8yop-08br-adgz-k5fs-yb5g059v7dfr,157228697,55,78
sq3cnmsw-m8c0-fk6n-7yn1-ekex74v65w2y,157228697,42,71
x5j0cn5a-ihkh-9cfh-wpvh-rmdznv7syk5a,157228697,46,115
pwil14u7-zxmq-c86y-ghub-kljvqezltxbi,63344908,21,113
670241nf-f5cy-svhw-dj7h-wwvlw8hmh75u,63344908,13,30
6kjgyb9o-fqch-isno-t8t8-sak69xonr0c3,63344908,43,126
civmaj2k-quo3-3xlr-qqxr-ml9m1agdhww0,63344908,25,58
xsu0zx0b-qkmx-m1ce-7h1t-i03ktf4jetdg,63344908,31,56
p8v0lntk-8n51-6dw8-7xzx-49hz9lrpqtuf,63344908,97,129
ufmus5v3-b2aq-htg5-jqr0-7i712e8gct51,161530920,17,107
9b5omdfi-u96k-k6am-hdks-ksaddsnefiix,161530920,73,94
9x96egi6-sd35-yd0e-m2ws-xvxhjb98ho1e,161530920,80,155
fi1frcwm-pz4e-7sjn-o0vm-qq8handkwpgc,161530920,83,173
4rftugqk-8rwa-4qe9-wj0d-c0f7rkinq4fw,161530920,39,73
ic7b3rnx-yrqz-vzob-vcmp-f2bbpyduiahn,161530920,9,67
7s5q48bi-dylw-ev3z-ubub-sgqinb5dj6wl,161530920,3,15
7q6djibd-x0wf-ee3w-rqf1-ws91g26gqgko,123594221,83,157
ixnca7hh-re9l-vuls-34g5-n7reu3m6kgq7,123594221,37,59
k0r384cd-pj31-og75-cxim-obee686485sm,123594221,26,126
qxpkcrda-laj4-kqle-oroj-5ffuo0h87p1z,123594221,29,112
8jouddor-sztm-tq3z-aztb-448uuwans41c,123594221,59,100
mmyib75j-snvx-xvlg-10dk-5abbf5hevzzu,123594221,10,22
hoh72bzu-1rpj-6aic-jfza-kau2f06lnvtd,123594221,61,93
i3fzhm8s-ju20-xlc5-sc5s-m584i2bwt5b7,123594221,58,109
ssm3vjjx-ul6p-oi3i-wevb-q5byqlnezwnx,123594221,31,121
x5j0cn5a-ihkh-9cfh-wpvh-rmdznv7syk5a,123594221,50,90
p8v0lntk-8n51-6dw8-7xzx-49hz9lrpqtuf,123594221,42,111
ib0bl2a4-36k0-zx48-xvxs-7u8u7rymkblu,123594221,98,167
4s8arttc-9658-73b3-6t59-6sm4qli26mfy,123594221,91,127
fclelyrf-8rkb-kgtb-3qxm-lhbmobw5asft,123594221,86,157
40qc9ovc-e6xx-mxep-dx5e-zbxq2m3q3wc3,123594221,76,147
71f9jldp-mjkl-jn7c-5gni-avaq35gxvfjc,242294658,55,154
wq6h57n8-tkmi-oqn0-6pfn-vun6rzh1ov2o,242294658,81,86
3e853gem-7889-t6ig-47r5-fpatp6leb0tw,242294658,34,63
d09wehwb-j73r-rlx5-qypw-2sff1ifsh4un,242294658,38,98
l2xhybu2-7btt-wwqs-ghm0-aycbykmztk6v,242294658,86,156
ib0bl2a4-36k0-zx48-xvxs-7u8u7rymkblu,242294658,28,87
7svv3v91-gz75-ab3t-647z-k0enntgt0aq1,242294658,10,37
zm7nmc7m-tr4s-i8zu-ipje-xoxg2dbxczvg,242294658,28,115
f5gp4yee-mswz-e9my-355o-1x14ez4soi26,242294658,22,88
ddlizvvx-ui1r-iw3i-prxr-2rvi6j05c67v,242294658,88,127
4rftugqk-8rwa-4qe9-wj0d-c0f7rkinq4fw,20901854,1,7
bl2nl9ke-warm-ajsb-5qdn-9b2veg0a58re,20901854,47,85
d09wehwb-j73r-rlx5-qypw-2sff1ifsh4un,20901854,19,74
2uh4cr5k-v77n-wk0j-0xgl-10qgsjyctbly,20901854,96,182
z1pkf3n5-gjhg-lo8l-21n4-d2byd3uuadv7,20901854,74,83
3802zyl2-owaq-2gnz-7z2q-5y029k569wzc,20901854,25,123
y6rwn15k-afh4-3z31-mbku-jtcsnd8fcedn,20901854,59,81
atx9hlm4-51hj-law6-ig7d-jmrf4o5b7qat,20901854,3,74
kugf4jju-07w0-x0y8-mx5g-dfkvm4b7qfhs,54484490,10,37
n4yyufen-8p4v-wjox-bcd5-7gaeq7ogh0f1,54484490,48,134
pwil14u7-zxmq-c86y-ghub-kljvqezltxbi,54484490,93,96
amtulq18-y1ji-03d9-k1p6-0mwqtbe3yjdo,54484490,27,66
5vmt2pjs-ntdn-orfc-54qm-vci2tztrgrpu,54484490,64,149
yappahtp-edre-xfqd-0dbq-gi3vk2b5gaeu,54484490,53,58
769iv6g8-xovf-r6pn-uqzc-6fm6mbmrofuf,54484490,98,195
qlkojlgc-yxmg-s9sz-9rhy-3j02ld1b80r4,54484490,91,168
yzj9m1xg-pki5-1s55-hc52-k2sxnd0fa71z,54484490,97,159
3bgoavts-bljw-mfk2-1sao-zyz5wfux1ao0,54484490,59,88
yd0y6ql9-yxes-hq6u-dydy-tg3up2r2wp36,73187080,64,71
7wrzlnsm-e8b2-vdld-aip8-3urrzludlgj2,73187080,44,81
mmyib75j-snvx-xvlg-10dk-5abbf5hevzzu,73187080,67,159
2ujitajw-8tde-svxr-dm8a-sxybv6s04j66,73187080,5,31
nurha3rj-s2rf-v433-0cs7-4qqo36a2a3uz,73187080,62,80
mv6qy66r-lyak-5316-mdxu-gk8gj6rfkyo8,73187080,81,128
lh68bnxy-fxe4-1pp7-0u7e-ntpno306pw5i,73187080,89,135
y6rwn15k-afh4-3z31-mbku-jtcsnd8fcedn,73187080,48,90
yyxen4hb-fbxr-qtw8-zrh0-vl42xucxvl2y,73187080,71,118
mgv8sm9o-nnsg-go8m-841g-c6m8ak27ayp2,73187080,77,171
6kjgyb9o-fqch-isno-t8t8-sak69xonr0c3,73187080,6,21
b8los9w3-cr51-a62s-n2e9-a35vdmem5acv,73187080,82,169
bfa7q1r4-v9eu-qos0-e2bj-nzc4xaz1ztuj,73187080,81,156
lce4xpfy-0xvc-db6r-84rc-48uybuxp2q9x,73187080,23,65
lg4jmu3q-o9qz-8lqu-7x0g-g0xbofz269zd,102416176,76,155
pa5o6cas-uq1c-o17z-icua-paz4miu5odem,102416176,83,96
b8los9w3-cr51-a62s-n2e9-a35vdmem5acv,102416176,49,120
rmxld557-bz7b-6h2p-kj82-s98w808qob46,102416176,18,87
pvf0pcop-g9n1-ueg8-0yzn-37jtapiy9y0k,102416176,38,102
kjyliy1s-ylvy-x8rl-8um6-94w89ojb19oc,148629271,87,184
fwtph8qa-iqex-5dwu-amah-d3ws0y1tkb0y,148629271,91,148
x39roqny-3fmj-6vye-yvrp-lty7l4dx743a,148629271,68,121
3bgoavts-bljw-mfk2-1sao-zyz5wfux1ao0,148629271,59,66
uevfrx8a-nf59-y1al-3uy9-tf4v8x0yisbr,148629271,7,37
du6xztp6-ql3i-yexv-wwqu-51b5ij6uznxe,148629271,9,90
ibin4o8x-qi1g-ug29-syt1-cs5niqmvu4wv,148629271,22,25
ztfap96x-2h80-0r67-fcxm-5d6xbre0if1v,132612270,15,92
pnhrnqvz-147x-5k5h-wwp8-gxsvy46uav37,132612270,55,100
bfa7q1r4-v9eu-qos0-e2bj-nzc4xaz1ztuj,132612270,65,91
pvf0pcop-g9n1-ueg8-0yzn-37jtapiy9y0k,132612270,49,91
7q6djibd-x0wf-ee3w-rqf1-ws91g26gqgko,132612270,46,64
lg4jmu3q-o9qz-8lqu-7x0g-g0xbofz269zd,132612270,46,60
aizp5cg0-5539-ldds-t70y-qj5wgwqgrpok,132612270,82,90
6h914x2b-mo7f-wok1-d4zg-ekfx3m5c57c6,132612270,97,196
8yi83m7j-3e2s-a5mn-gp3f-dlpr9233ndaw,198893053,51,118
lh68bnxy-fxe4-1pp7-0u7e-ntpno306pw5i,198893053,18,60
bfa7q1r4-v9eu-qos0-e2bj-nzc4xaz1ztuj,198893053,24,60
iy8poyl2-4okh-zfc6-u1kl-a3zgatlpqibn,198893053,82,100
x5sw4jhj-fgip-byct-oh7g-keex61qriuuh,198893053,85,99
v3dpbqir-l5lk-p7il-rz94-dy0quieo2tfx,198893053,96,116
8pzekfuo-n7zb-8x52-m1d7-tsavc64g79hm,213330802,44,98
ard43tuw-57e5-3r6u-punt-c1lu8f6c4sbs,213330802,80,140
4qpmmx0k-eoj2-5ew2-9fqa-3p4hpcaiserl,213330802,35,102
xpfd7y8t-jsyx-i8v7-hky1-di3bw22t1bk7,213330802,9,12
9987adfp-3476-wl05-gbqn-yv6b8llmsl5b,213330802,55,93
fm15qpry-8b90-daya-2ncm-wfpdj1s86ln2,213330802,7,33
ddlizvvx-ui1r-iw3i-prxr-2rvi6j05c67v,213330802,86,119
769iv6g8-xovf-r6pn-uqzc-6fm6mbmrofuf,213330802,54,75
a9kkiij5-b85v-ohv4-zlak-yq6lv2l863fr,213330802,44,88
d09wehwb-j73r-rlx5-qypw-2sff1ifsh4un,213330802,49,66
iplkbpnj-bf44-beoq-nc8i-cikj00n13hhd,213330802,100,118
vdnphzga-liaq-8yam-jk4c-0fot9xkxspfb,213330802,22,101
71f9jldp-mjkl-jn7c-5gni-avaq35gxvfjc,213330802,44,84
goe4oue0-kxc7-qqcd-6i0f-q1psax7kwxfk,213330802,25,78
670241nf-f5cy-svhw-dj7h-wwvlw8hmh75u,52858045,81,96
7svv3v91-gz75-ab3t-647z-k0enntgt0aq1,52858045,75,133
ed05ovuw-0zv5-ywrc-i6hi-ff38f0yh5gky,52858045,77,105
neowz3n9-6j4d-489y-csle-qemmk7fc4xfy,52858045,83,125
fkjfdvz2-uf0x-wrja-n48s-qqzp0ecxbot5,52858045,31,74
cuzsihnd-va6k-u2dl-v0ka-9t45eypztibv,52858045,9,91
9987adfp-3476-wl05-gbqn-yv6b8llmsl5b,52858045,38,115
x0ul3dry-490r-pamd-304b-0z0heekibkiv,52858045,95,151
40qc9ovc-e6xx-mxep-dx5e-zbxq2m3q3wc3,52858045,53,148
769iv6g8-xovf-r6pn-uqzc-6fm6mbmrofuf,52858045,30,64
prtzka0p-7owg-t2um-ou2e-zq8z2zl4pc47,52858045,86,109
nurha3rj-s2rf-v433-0cs7-4qqo36a2a3uz,52858045,13,61
gglfzyvu-nykr-0u5f-z80z-s5yjuio9mqci,221673644,26,95
ko5hgtlb-5zo9-o1er-q9tr-pjnmaf06t5el,221673644,13,32
vdnphzga-liaq-8yam-jk4c-0fot9xkxspfb,221673644,78,143
neowz3n9-6j4d-489y-csle-qemmk7fc4xfy,221673644,7,98
i2r2at3t-5ea7-kgbo-xftz-onzgh2uh1m2m,221673644,100,197
awirw8te-wndh-9i7a-560z-5emlwov05hze,221673644,27,121
jbltoy5w-seyt-sbnk-mka2-hhp7stxms4yv,221673644,60,141
prtzka0p-7owg-t2um-ou2e-zq8z2zl4pc47,221673644,12,71
bjap1p7n-e17s-hajn-druz-0t9a4ry0yndd,113565652,18,100
96ulpc1s-25q4-3y3q-mqou-a9ssldo4nwle,113565652,6,61
krtt0mu7-teng-4cs2-0o6t-42u5t8wbnfns,113565652,49,138
cw17k47s-4s14-s0cw-4pr7-7tbeehrqy7sa,113565652,100,155
rn2uri6h-lx8e-2a32-akzg-xks2r9hvyb04,113565652,20,76
pnhrnqvz-147x-5k5h-wwp8-gxsvy46uav37,113565652,37,85
95g5xmba-8sqj-bd7f-veyo-plsc8lpthju3,53723223,61,136
4qpmmx0k-eoj2-5ew2-9fqa-3p4hpcaiserl,53723223,97,180
4rftugqk-8rwa-4qe9-wj0d-c0f7rkinq4fw,53723223,14,49
ihfncgmd-gs4d-eapx-i2iz-ecea92vsgutv,53723223,79,95
wbvofjxy-oy38-ltgu-an14-58kss4baisih,53723223,85,159
co77mlq0-slga-t9q1-fauz-0wt35yjlf1fx,53723223,29,97
5u82xe12-zmip-vxnu-taux-dmed0ws3sxfw,53723223,77,108
okiqp1i6-yyma-eokp-d5vv-nzz9e8tyl1lu,53723223,7,82
kjyliy1s-ylvy-x8rl-8um6-94w89ojb19oc,53723223,98,122
332vpnd0-nzgb-xj8l-24tj-i25r3ic1er8z,53723223,30,60
wm24isw9-6hpx-yvfq-xqnd-kfc3tk8ih7av,128725225,2,96
ib0bl2a4-36k0-zx48-xvxs-7u8u7rymkblu,128725225,9,89
kas6ao21-kstt-dp2o-acxs-j1em3kb9jhjl,128725225,12,95
2ujitajw-8tde-svxr-dm8a-sxybv6s04j66,128725225,23,108
mv6qy66r-lyak-5316-mdxu-gk8gj6rfkyo8,128725225,86,137
sq3cnmsw-m8c0-fk6n-7yn1-ekex74v65w2y,128725225,95,116
ojbtxtg7-box1-8vuf-7920-v8cng6pjhfet,128725225,52,87
xgkljlx1-76yw-dmoa-74b1-8czxjqywslpu,128725225,79,103
vj1tf3n8-snik-rza6-1vfd-n9vp1ewk4zym,128725225,69,116
krtt0mu7-teng-4cs2-0o6t-42u5t8wbnfns,128725225,8,50
